actual_cost	list_price_estimate_usd	requested_model	responding_model	status	task	ts	usd
subscription; billed cost unavailable	0.38972799999999996	sonnet	claude-sonnet-5	usd0 accounting placeholder; response model verified; source acceptance separate	prospecting-resume-p22-resolver-tests-14	2026-09-11T05:38:45.713794+00:00	0
subscription; billed cost unavailable	0.379881	sonnet	claude-sonnet-5	usd0 accounting placeholder; model verified; acceptance separate	p22-resolver-tests-15	2026-09-11T05:56:05.167669+00:00	0
subscription; billed cost unavailable	2.142744	opus	claude-opus-5	usd0 accounting placeholder; model verified; acceptance separate	native-stage-contract-11	2026-09-11T05:56:05.167669+00:00	0
subscription; billed cost unavailable	2.3057489999999996	opus	claude-opus-5	usd0 accounting placeholder; model verified; acceptance separate	p23-capture-core-11	2026-09-11T05:56:05.167669+00:00	0
subscription; billed cost unavailable	1.191902	opus	claude-opus-5	usd0 accounting placeholder; model verified; acceptance separate	p22-source-review-16	2026-09-11T05:56:05.167669+00:00	0
subscription; billed cost unavailable	1.691578	opus	claude-opus-5	usd0 accounting placeholder; actual worker model verified; source acceptance separate	p22-selected-render-16	2026-09-11T06:32:59.647046+00:00	0
subscription; billed cost unavailable	1.3376080000000001	opus	claude-opus-5	usd0 accounting placeholder; actual worker model verified; source acceptance separate	p23-capture-review-12	2026-09-11T06:32:59.647046+00:00	0
subscription; billed cost unavailable	2.0188539999999997	opus	claude-opus-5	usd0 accounting placeholder; actual worker model verified; source acceptance separate	native-ratio-contract-12	2026-09-11T06:32:59.647046+00:00	0
subscription; billed cost unavailable	0.7676769999999999	sonnet	claude-sonnet-5	usd0 accounting placeholder; actual worker model verified; source acceptance separate	native-ratio-contract-13	2026-09-11T06:32:59.647046+00:00	0
subscription; billed cost unavailable	2.5461	opus	claude-opus-5	usd0 accounting placeholder; actual worker model verified; source acceptance separate	p22-selected-render-17	2026-09-11T06:32:59.647046+00:00	0
subscription; billed cost unavailable	1.3141889999999998	opus	claude-opus-5	usd0 accounting placeholder; actual worker model verified; source acceptance separate	p23-capture-hardening-13	2026-09-11T06:32:59.647046+00:00	0
subscription; billed cost unavailable	0.704892	sonnet	claude-sonnet-5	usd0 accounting placeholder; actual worker model verified; source acceptance separate	p23-capture-finish-14	2026-09-11T06:32:59.647046+00:00	0
subscription; billed cost unavailable	2.343056	opus	claude-opus-5	usd0 accounting placeholder; actual worker model verified; source acceptance separate	native-final-review-14	2026-09-11T06:32:59.647046+00:00	0
subscription; billed cost unavailable	0.135805	sonnet	claude-sonnet-5	usd0 accounting placeholder; actual worker model verified; source acceptance separate	native-fixture-grammar-15	2026-09-11T06:32:59.647046+00:00	0
subscription; billed cost unavailable	0.747436	sonnet	claude-sonnet-5	usd0 accounting placeholder; actual worker model verified; source acceptance separate	native-copy-contract-16	2026-09-11T06:32:59.647046+00:00	0
subscription; billed cost unavailable	0.25804099999999996	sonnet	claude-sonnet-5	usd0 accounting placeholder; actual worker model verified; source acceptance separate	p22-render-finish-18	2026-09-11T06:32:59.647046+00:00	0
subscription; billed cost unavailable	2.2077709999999997	opus	claude-opus-5	usd0 accounting placeholder; actual worker model verified; source acceptance separate	native-copy-contract-17	2026-09-11T06:32:59.647046+00:00	0
subscription; billed cost unavailable	0.9042190000000001	opus	claude-opus-5	usd0 accounting placeholder; actual worker model verified; source acceptance separate	p22-render-finish-19	2026-09-11T06:32:59.647046+00:00	0
subscription; billed cost unavailable	1.018156	opus	claude-opus-5	usd0 accounting placeholder; actual worker model verified; source acceptance separate	p23-final-review-15	2026-09-11T06:32:59.647046+00:00	0
subscription; billed cost unavailable	unavailable	gpt-6-astra	unverified	actual synthetic stage execution; parked; no positive quality acceptance; usd0 placeholder	native-trial-087ba1b	2026-09-11T06:32:59.647046+00:00	0
subscription; billed cost unavailable	unavailable	gpt-6-astra	unverified	actual synthetic stage execution; parked; no positive quality acceptance; usd0 placeholder	native-trial-f169a92a	2026-09-11T06:32:59.647046+00:00	0
subscription; billed cost unavailable	unavailable	gpt-6-astra	unverified	actual synthetic stage execution; parked; no positive quality acceptance; usd0 placeholder	native-trial-94c08874	2026-09-11T06:32:59.647046+00:00	0
subscription; billed cost unavailable	unavailable	gpt-6-astra	unverified	actual synthetic stage execution; parked; no positive quality acceptance; usd0 placeholder	native-trial-130538ed	2026-09-11T06:32:59.647046+00:00	0
subscription; billed cost unavailable	1.371264	opus	claude-opus-5	response model verified; usd0 placeholder; source acceptance separate	p23-capture-cli-16	2026-09-11T06:56:17.230391+00:00	0
subscription; billed cost unavailable	0.34951599999999994	sonnet	claude-sonnet-5	response model verified; usd0 placeholder; source acceptance separate	p23-fixture-domains-17	2026-09-11T06:56:17.230391+00:00	0
subscription; billed cost unavailable	2.9826639999999998	opus	claude-opus-5	response model verified; usd0 placeholder; source acceptance separate	p22-draft-binding-20	2026-09-11T06:56:17.230391+00:00	0
subscription; billed cost unavailable	0.219456	sonnet	claude-sonnet-5	response model verified; usd0 placeholder; source acceptance separate	p23-acquisition-skill-19	2026-09-11T06:56:17.230391+00:00	0
subscription; billed cost unavailable	1.8187319999999998	opus	claude-opus-5	response model verified; usd0 placeholder; source acceptance separate	p23-cli-tests-18	2026-09-11T06:56:17.230391+00:00	0
subscription; billed cost unavailable	0.276767	sonnet	claude-sonnet-5	response model verified; usd0 placeholder; source acceptance separate	p23-skill-fix-20	2026-09-11T06:56:17.230391+00:00	0
subscription; billed cost unavailable	0.6874199999999999	opus	claude-opus-5	response model verified; usd0 placeholder; source acceptance separate	p23-skill-final-21	2026-09-11T06:56:17.230391+00:00	0
subscription; billed cost unavailable	1.991563	opus	claude-opus-5	response model verified; usd0 placeholder; source acceptance separate	native-final-review-18	2026-09-11T06:56:17.230391+00:00	0
subscription; billed cost unavailable	3.5847780000000005	opus	claude-opus-5	response verified; source acceptance separate	p22-binding-repair-21	2026-09-11T07:04:17.945664+00:00	0
subscription; billed cost unavailable	2.4304720000000004	opus	claude-opus-5	response verified; source acceptance separate	p22-selected-attestation-22	2026-09-11T07:04:17.945664+00:00	0
subscription; billed cost unavailable	0	opus	<synthetic>	HTTP429 sessionlimit reset09UTC; syntheticerror notmodelresponse	p22-binding-review-23	2026-09-11T07:04:17.945664+00:00	0
subscription; billed cost unavailable	0	sonnet	<synthetic>	HTTP429 same09UTCreset; error notmodelresponse; usd0 placeholder	native-legacy-identity-27	2026-09-11T07:56:53.811148+00:00	0
subscription; billed cost unavailable	0.171412	sonnet	claude-sonnet-5	response verified; source acceptance separate; usd0 accounting placeholder	native-legacy-identity-28	2026-09-11T09:08:01.371626+00:00	0
subscription; billed cost unavailable	0.09242700000000001	sonnet	claude-sonnet-5	response verified; source acceptance separate; usd0 accounting placeholder	native-signature-tests-32	2026-09-11T09:08:01.371626+00:00	0
subscription; billed cost unavailable	1.6115419999999998	opus	claude-opus-5	response verified; source acceptance separate; usd0 accounting placeholder	p24-replay-repair-24	2026-09-11T09:08:01.371626+00:00	0
subscription; billed cost unavailable	2.3467279999999997	opus	claude-opus-5	response verified; source acceptance separate; usd0 accounting placeholder	p22-binding-review-25	2026-09-11T09:08:01.371626+00:00	0
subscription; billed cost unavailable	3.134561	opus	claude-opus-5	response verified; source acceptance separate; usd0 accounting placeholder	p22-pipeline-wire-26	2026-09-11T09:25:44.799975+00:00	0
subscription; billed cost unavailable	1.130119	opus	claude-opus-5	response verified; source acceptance separate; usd0 accounting placeholder	p23-cli-review-30	2026-09-11T09:25:44.799975+00:00	0
subscription; billed cost unavailable	0.175371	sonnet	claude-sonnet-5	response verified; source acceptance separate; usd0 accounting placeholder	p23-skill-correct-31	2026-09-11T09:25:44.799975+00:00	0
subscription; billed cost unavailable	0.555132	sonnet	claude-sonnet-5	response verified; source acceptance separate; usd0 accounting placeholder	contract-boundary-fix-33	2026-09-11T09:25:44.799975+00:00	0
subscription; billed cost unavailable	2.141361	opus	claude-opus-5	response verified; source acceptance separate; usd0 accounting placeholder	p22-edited-regeneration-34	2026-09-11T09:25:44.799975+00:00	0
subscription; billed cost unavailable	0.29992100000000005	sonnet	claude-sonnet-5	response verified; source acceptance separate; usd0 accounting placeholder	p23-claim-precheck-36	2026-09-11T09:25:44.799975+00:00	0
subscription; billed cost unavailable	0.9782949999999999	opus	claude-opus-5	response verified; source acceptance separate; usd0 accounting placeholder	p22-regeneration-finish-37	2026-09-11T09:25:44.799975+00:00	0
subscription; billed cost unavailable	0.156641	sonnet	claude-sonnet-5	response verified; source acceptance separate; usd0 accounting placeholder	ast-boundary-repair-38	2026-09-11T09:25:44.799975+00:00	0
subscription; billed cost unavailable	unavailable	opus	claude-opus-5	response model verified; no result29, review35 requests changes, design40, accessor43 pending tests; usd0 placeholder	p22-review-service-29	2026-09-11T19:20:52.348560+00:00	0
subscription; billed cost unavailable	2.3717200000000003	opus	claude-opus-5	response model verified; no result29, review35 requests changes, design40, accessor43 pending tests; usd0 placeholder	selected-final-review-35	2026-09-11T19:20:52.348560+00:00	0
subscription; billed cost unavailable	1.8779135	opus	claude-opus-5	response model verified; no result29, review35 requests changes, design40, accessor43 pending tests; usd0 placeholder	capture-compiler-design-40	2026-09-11T19:20:52.348560+00:00	0
subscription; billed cost unavailable	0.266075	sonnet	claude-sonnet-5	response model verified; no result29, review35 requests changes, design40, accessor43 pending tests; usd0 placeholder	capture-resolved-accessor-43	2026-09-11T19:20:52.348560+00:00	0
subscription; billed cost unavailable	1.442977	opus	claude-opus-5	response verified; acceptance separate; usd0 accounting placeholder	selected-review-repair-41	2026-09-11T19:37:10.563674+00:00	0
subscription; billed cost unavailable	1.852656	opus	claude-opus-5	response verified; acceptance separate; usd0 accounting placeholder	selected-review-service-core-42	2026-09-11T19:37:10.563674+00:00	0
subscription; billed cost unavailable	0.393304	sonnet	claude-sonnet-5	response verified; acceptance separate; usd0 accounting placeholder	capture-accessor-tests-44	2026-09-11T19:37:10.563674+00:00	0
subscription; billed cost unavailable	1.775978	opus	claude-opus-5	response verified; acceptance separate; usd0 accounting placeholder	review-service-repair-45	2026-09-11T19:37:10.563674+00:00	0
subscription; billed cost unavailable	2.003873	opus	claude-opus-5	response verified; acceptance separate; usd0 accounting placeholder	import-hash-preconditions-46	2026-09-11T19:37:10.563674+00:00	0
subscription; billed cost unavailable	0.187503	sonnet	claude-sonnet-5	response verified; acceptance separate; usd0 accounting placeholder	selected-reversion-test-47	2026-09-11T19:37:10.563674+00:00	0
subscription; billed cost unavailable	1.8104809999999996	opus	claude-opus-5	response verified; acceptance separate; usd0 accounting placeholder	native-selected-fixture-48	2026-09-11T19:37:10.563674+00:00	0
subscription; billed cost unavailable	0.6813859999999999	opus	claude-opus-5	response verified; acceptance separate; usd0 accounting placeholder	capture-accessor-review-49	2026-09-11T19:37:10.563674+00:00	0
subscription; billed cost unavailable	2.6753709999999997	opus	claude-opus-5	response verified; root acceptance separate; usd0 placeholder	selected-review-projection-50	2026-09-11T19:50:24.790563+00:00	0
subscription; billed cost unavailable	2.027881	opus	claude-opus-5	response verified; root acceptance separate; usd0 placeholder	capture-import-compiler-51	2026-09-11T19:50:24.790563+00:00	0
subscription; billed cost unavailable	1.3900700000000001	opus	claude-opus-5	response verified; root acceptance separate; usd0 placeholder	native-fixture-repair-52	2026-09-11T19:50:24.790563+00:00	0
subscription; billed cost unavailable	0.992891	opus	claude-opus-5	response verified; root acceptance separate; usd0 placeholder	import-preconditions-review-53	2026-09-11T19:50:24.790563+00:00	0
subscription; billed cost unavailable	1.429761	opus	claude-opus-5	response verified; root acceptance separate; usd0 placeholder	capture-compiler-review-55	2026-09-11T19:50:24.790563+00:00	0
subscription; billed cost unavailable	2.216474	opus	claude-opus-5	response verified; root acceptance separate; usd0 placeholder	selected-projection-repair-54	2026-09-11T20:08:54.636267+00:00	0
subscription; billed cost unavailable	1.9350420000000002	opus	claude-opus-5	response verified; root acceptance separate; usd0 placeholder	pipeline-repair-continuity-56	2026-09-11T20:08:54.636267+00:00	0
subscription; billed cost unavailable	1.4726280000000003	opus	claude-opus-5	response verified; root acceptance separate; usd0 placeholder	capture-compiler-repair-57	2026-09-11T20:08:54.636267+00:00	0
subscription; billed cost unavailable	1.240232	opus	claude-opus-5	response verified; root acceptance separate; usd0 placeholder	selected-projection-tests-58	2026-09-11T20:08:54.636267+00:00	0
subscription; billed cost unavailable	1.6624919999999999	opus	claude-opus-5	response verified; root acceptance separate; usd0 placeholder	pipeline-repair-scope-59	2026-09-11T20:08:54.636267+00:00	0
subscription; billed cost unavailable	1.5788050000000002	opus	claude-opus-5	response verified; root acceptance separate; usd0 placeholder	capture-compiler-syntax-60	2026-09-11T20:08:54.636267+00:00	0
subscription; billed cost unavailable	1.529657	opus	claude-opus-5	response verified; root acceptance separate; usd0 placeholder	selected-projection-patch-61	2026-09-11T20:08:54.636267+00:00	0
