note	requested_model	responding_model	task	usd
	gemini-3-pro-image	gemini-3-pro-image		0.134
Round-2 Lane G L17 storefront plate	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L17	0.134
Round-2 Lane G L18 canonical-parent issue	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L18 issue 1	0.134
Round-2 Lane G L18 SHA-pinned reissue	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L18 reissue	0.134
Round-2 Lane G MiniScribe armscrossed smug STEP-1	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh fig-miniscribe-rep--action-armscrossed--expr-smug	0.039
Round-2 Lane G L29 furnace-belt composite	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L29	0.134
Round-2 Lane G MiniScribe recoil fear STEP-1	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh fig-miniscribe-rep--action-recoil--expr-fear	0.039
Round-2 Lane G L40 mesa composite	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L40	0.134
Round-2 Lane G L53 timeout issue 1 — no image, reconciled	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L53 issue 1	0.000
Round-2 Lane G L53 timeout reissue — no image, reconciled	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L53 reissue	0.000
Round-2 Lane G L55 timeout issue 1 — no image, reconciled	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L55 issue 1	0.000
Round-2 Lane G L53 resumed image generation	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L53 resumed	0.134
Round-2 Lane G L54 resumed image generation	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L54 resumed	0.134
Round-2 Lane G L55 resumed image generation	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L55 resumed	0.134
Round-2 Lane G L56 resumed image generation	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L56 resumed	0.134
Round-2 Lane G L57 resumed image generation	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L57 resumed	0.134
Round-2 Lane J L78 image generation timeout issue 1	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L78-round2-J timeout issue 1	0.134
Round-2 Lane J L78 image generation timeout issue 2	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L78-round2-J timeout issue 2	0.134
Round-2 Lane J L79 image generation timeout issue 1	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L79-round2-J timeout issue 1	0.134
Round-2 Lane M L91 boss-authorized reattempt	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L91-round2-M	0.134
Round-2 Lane M L92 sanctioned STEP-1 retry	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh fig-auditor-rep--sign-with-pen--expr-deadpan-r2M	0.039
Round-2 Lane M L92 scene	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L92-round2-M	0.134
Round-2 Lane I sanctioned auditor STEP-1 retry	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh fig-auditor-rep--action-powerstance--expr-deadpan-r2i	0.039
Round-2 Lane J L78 resumed image generation (content flagged)	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L78-round2-J resume issue 3	0.134
Round-2 Lane M L94 reattempt	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L94-round2-M	0.134
Round-2 Lane M L95 delta	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L95-round2-M	0.134
Round-2 Lane M L96 delta	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L96-round2-M	0.134
Round-2 Lane M L97 base	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L97-round2-M	0.134
Round-2 Lane M L98 delta	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L98-round2-M	0.134
Round-2 Lane M L99 flagged delta	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L99-round2-M	0.134
Round-2 Lane M L100 flagged crowd base	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L100-round2-M	0.134
Round-2 Lane J L83 resumed image generation (fidelity flagged)	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L83-round2-J resume	0.134
Round-3 Lane P L73 provider quota rejection	gemini-3-pro-image	gemini-3-pro-image	bricks-fresh L73-round3-P HTTP 429; no PNG	0.000
